site	x	y	road_len	area	rd_dens	prec_mean	prec_sd	prec_cv	Ave_catchment_order	Ave_river_protect	Ave_imperviousness	Ave_natural_cover	Ave_pressure_sum	ave_logNconcen	mean_C_percent	mid_pH	masr	mat	elev	ALP	BG	BGC	BGL	BL	BRock	GY	HCPYB	HCYB	ice	IRENYB	IYBBL	IYBLRE	IYBLYB	IYBRE	IYGRE	IYGYB	lake	LIT	MSoil	OR	POD	PYB	PYBL	PYBP	PYBP/YBL	R/YP/YBL	RE	RE/YBP	REND	rive	RL	SAGY	SAOR	SKele	town	UYB	UYG	YB	YBL	YBL/YB	YBP	YBP/YBL	YBS	YBST	YG	artificial2	bare2	water2	cropland2	grassland2	scrub2	forest2	artificial3	bare3	water3	cropland3	grassland3	scrub3	forest3	bare	scrub	exotic_grassland	ind_forest	tussock	plantations	urban	freshwater	marine	high_alt	low_alt	urbanised	aquatic_veg	Alpine Grass/Herbfield	Broadleaved Indigenous Hardwoods	Built-up Area (settlement)	Coastal Sand and Gravel	Deciduous Hardwoods	Depleted Grassland	Exotic Forest	Fernland	Flaxland	Forest - Harvested	Gorse and/or Broom	Gravel and Rock	Herbaceous Freshwater Vegetation	High Producing Exotic Grassland	Indigenous Forest	Lake and Pond	Landslide	Low Producing Grassland	Mangrove	Manuka and/or Kanuka	Matagouri or Grey Scrub	Mixed Exotic Shrubland	Orchard Vineyard & Other Perennial Crops	Permanent Snow and Ice	River	Short-rotation Cropland	Sub Alpine Shrubland	Surface Mines and Dumps	Tall Tussock Grassland	Transport Infrastructure	Urban Parkland/Open Space	Richness	Rapaport node
CS	174.52205652213155	-36.888834127095315	0	197.69	0.144373149	1425.38	0.86	0.001	3	0.2051	0.0237781	0.964846	0.7354365	0.487097	12.3999996	5.549999825	13.2784004	14.3399	59	0	0	1074.1277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.65302308	178.0379871	0	0	0	0	0	19.57	178.12	0	19.57	0	178.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178.12	0	0	0	0	19.57	0	0	0	0	0	0	0	0	0	0	0	1982	20
D	175.08248336511727	-36.907234475301244	286.72	5.31	0.534492493	1131	0	0	1	0.026	0	0.047999	0.7086	0.27978	10.6999998	6.0999999	13.2149	15.0424995	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70.52301875	0	0	0	0	0	0	0	0	0	0	136.8079	0	0	0	0	0	0	0	0	0	0	0	4.892664863	0	0.420321048	0	0	0	0	4.95	0	0.37	0	0	4.95	0.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.95	0.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3993	16
DC	174.70174917544068	-36.398991822151416	915.41	30.81	1.512449741	1397	0	0	2	0.07455	0.0733072	0.1961383	0.678231	0.2642075	15.3999996	5.29999995	14.4076004	15.1630001	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	845.8564	204.3924	0	0	0	0	0	0	0	0	0	1.56266673	26.61477349	0.207381297	2.424445426	0	0	0	1.5	26.72	0.23	2.36	0	0.23	28.22	0	0	2.36	0	0	0	0	0	0	0	0	0	0	0	0	0	2.36	0	0	0	0	0	0	26.72	0	0	0	0	0	0.23	0	0	1.5	0	0	0	0	0	0	0	0	3612	18
DCB	174.68495709197228	-36.45911682089616	0	62.97	0.393821388	1376	1.63	0.001	2	0.04365	0.02777275	0.215257	0.691918	0.132067667	18.3999996	5.0999999	14.0326004	14.8572998	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	803.70915	0	0	0	0	0	0	0	0	0	0	0	38.76167055	0	24.20775085	0	0	0	0	38.76	0	24.2	0	0	38.76	24.19	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.76	24.19	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	3590	18
DCP	174.68405035696358	-36.458736074776105	3813.99	573.31	0.866281748	1368.26	17.43	0.013	2.5	0.05475	0.0329473	0.250592667	0.696524333	0.491055053	18.3999996	5.0999999	14.0509996	14.9294996	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1808.7156	0	0	0	0	0	0	0	0	0	0	0	298.1947694	5.799765904	269.3181322	0	0	0	0	287.74	11.83	273.74	0	4.44	287.12	227.92	0.62	53.21	0	0	0	0	0.62	0	0	0	7.39	0	0	0	0	53.21	0	0	0	0	0	0	287.12	220.53	0	0	0.62	0	4.44	0	0	0	0	0	0	0	0	0	0	0	3217	18
DRY	172.8164976545517	-42.81368952921192	55266.89	7140.75	0.914574444	719.52	134.01	0.186	3.470588235	0.109758824	0.034933624	0.153293665	0.561219706	0.644099833	13.92631539	5.952631468	13.8494997	11.4019003	180	0	0	0	645.7433375	0	0	920.7924813	0	0	0	0	0	0	0	0	196.854575	624.0820438	0	0	0	0	0	0	0	0	0	0	3756.724194	0	0	0	0	0	0	0	0	2656.845631	0	1843.069538	0	0	0	0	0	0	17455.85949	34.51808464	0	0	880.0415849	4898.429668	659.8112498	667.9529818	34.32	0	0	880.41	4969.79	605.11	651.14	42.06	605.11	5132.99	122.89	717.21	486.19	34.32	0	0	0	754.83	0	0	0	0	0	0	12.9	0	473.29	0	0	42.06	167.74	0	0	4252.58	122.89	0	0	717.21	0	399.75	37.62	0	0	0	0	880.41	0	3.02	0	31.3	0	406	5
DUD	172.66347906839633	-43.51005438536081	130438.48	1301.63	9.050777435	487.83	9.93	0.02	3.166666667	0.014	0.6024385	0.001649117	0.206659667	0.23367795	7.23999976	4.2	13.2003002	12.3273001	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	513.853875	0	0	0	0	0	0	368.06115	0	0	0	0	0	0	0	22239.05396	0	0	0	0	0	0	0	0	0	0	1228.573849	0	0	11.8374356	58.21274485	0	3.002593648	1228.73	0	0	11.04	58.9	0	2.96	0	0	69.94	0	0	2.96	1228.73	0	0	0	0	1228.73	0	0	0	1169.49	0	2.96	0	0	0	0	0	0	0	0	58.9	0	0	0	0	0	0	0	0	0	0	0	11.04	0	0	0	0	59.24	2228	5
EAL	171.405142787711	-44.047733662143365	0	95.2	1.038499475	515	1.41	0.003	3	0.07885	0.0248386	0.19785195	0.4184195	0.4508046	8.099999733	4.0333333	13.4671001	11.0852003	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	704.6004375	0	0	18094.64694	0	0	0	0	0	0	0	0	0	0	0	0	0	17260.76923	0	0	2.992302944	0	0	15.75501148	70.45306949	5.997517373	0	2.93	0	0	15.68	70.53	6.06	2.93	70.53	9.37	0	6.31	6.06	0	0	0	2.93	6.31	0	0	0	0	0	0	6.06	0	0	0	0	0	70.53	2.93	0	9.37	0	0	0	6.31	0	0	0	0	0	0	0	0	0	0	0	0	0	493	4
EL	174.70869184657283	-36.79262770235846	21929.43	415.38	5.900338173	1064.94	9.53	0.009	2.066666667	0.06822	0.689794	0.230994853	0.4441192	0.450823833	0	0	12.5833998	15.3375998	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34870.08533	0	0	0	0	0	0	0	0	0	0	279.3477687	0	0	0	0	1.588140269	134.444221	281.2	0	0	0	0	1.53	132.66	0	0	0	134.19	0	0	281.2	0	0	0	0	281.2	0	0	1.53	250.73	0	0	0	0	0	0	0	0	0	0	0	132.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.47	3148	16
EM	174.71196842279699	-36.79482495983835	1420.35	71.49	6.415998936	1076.25	2.49	0.002	2.5	0.064166667	0.717613833	0.209531117	0.4570195	0.120084132	0	0	12.5446997	15.3069	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20922.0512	0	0	0	0	0	0	0	0	0	0	23.28321735	0	0	0	0	0.909139573	47.29603492	23.21	0	0	0	0	0.88	47.4	0	0	0	48.28	0	0	23.21	0	0	0	0	23.21	0	0	0.88	18.39	0	0	0	0	0	0	0	0	0	0	0	47.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.82	3596	16
ESK	176.83475467681004	-39.388762543510516	128419.67	25004.57	0.516927242	1139.03	156.39	0.137	3.14	0.196274	0.016326866	0.128086142	0.630604	0.501872	28.27540954	5.744262186	14.5530996	14.0588999	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1561.435325	0	0	1089.456056	0	0	0	0	0	0	0	0	0	0	7017.7104	0	0	30052.86091	2059.010219	0	0	12131.19076	21.14573809	2.491653437	26.48345453	88.12497143	13389.23875	2717.453417	8759.635544	21.06	2.5	26.33	109.56	13212.51	2776.01	8856.52	101.03	2449.45	12597.75	846.91	724.32	8237.64	21.06	26.33	0	2.5	724.32	2.68	0	0	326.56	2.68	0	177.87	0	8059.77	0	0	98.53	40.15	2.5	0	12488.19	520.35	17.17	0	724.32	0	2409.3	0	0	29.06	0	9.16	80.5	0	0	0	18.38	0	815	7
EU	174.71500211638127	-36.795168828211054	0	12.48	6.38217926	1073	0	0	3	0.0554	0.642872	0.306577	0.484328	-0.554901991	0	0	12.5446997	15.3069	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6974.017066	0	0	0	0	0	0	0	0	0	0	2.51E-05	0	0	0	0	0	12.47628512	0	0	0	0	0	0	12.48	0	0	0	12.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3634	16
FRK	170.41232326103614	-44.00004115977017	13756.7	11184.93	0.098000124	1286.39	440.86	0.343	3.136363636	0.379495455	0.002955	0.678463918	0.638952682	0.283634667	13.48307661	5.387692158	15.5171003	8.9226999	758	3703.500825	0	0	0	0	7547.928494	0	0	7958.286326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1251.1831	0	0	150.9687875	0	0	0	0	0	11050.06059	0	410.3924313	0	0	0	0	0	0	0	5.470796222	4909.810163	26.68686613	0	6087.662966	128.2682724	27.03545454	5.49	4915.39	26.41	0	6082.93	127.75	26.97	4587.37	0	38.97	455.77	5994.39	26.97	5.49	75.98	0	7954.05	2116.01	5.49	49.57	328.02	0	5.49	0	16.59	967.47	10.38	0	0	0	0	4557.25	49.57	38.97	0	14.93	0	2116.01	0	0	0	0	0	30.12	11.48	0	127.75	0	2910.91	0	0	327	4
GLN	170.8493667840907	-44.09185671888806	30468.07	4268.63	0.683328569	633.82	62.79	0.099	3.444444444	0.0719	0.020004411	0.093500689	0.578357667	0.138738667	10.62727233	5.772727227	14.5458002	9.9406996	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1262.629706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5200.592819	3253.858688	0	0	0.612184388	606.5469063	3208.368569	19.55270516	433.5542017	0	0	0.59	610.54	3193.38	21.19	442.96	1.69	21.19	3803.92	0	0	441.27	0	0.59	0	0	0	0	0	0	0	0	0	7.59	0	433.68	0	0	1.69	21.19	0	0	3193.38	0	0.59	0	0	0	0	0	0	0	0	0	610.54	0	0	0	0	0	674	4
HAL	170.78793144417546	-44.097894711907664	435.36	925.26	0.09271425	610.71	3.57	0.006	3	0.283366667	0.0037295	0.489725333	0.705886	-0.101502344	15.51999968	5.53999996	14.6911001	9.7514	356	0	0	0	0	0	0	0	0	1122.959613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	772.3368813	0	0	0	0	0	0	0	0	0	0	3557.9156	0	0	0	0	0	0	1844.399181	0	0	0	0	789.0794442	96.57615065	39.60739592	0	0	0	0	789.46	96.45	39.34	0	63.51	591.12	36.03	198.34	36.25	0	0	0	195.37	15.32	0	0	0	29.03	0	0	1.68	0	34.57	0	0	0	6.13	0	0	591.12	3.09	0	0	6.88	0	1.97	8.44	46.97	0	0	0	0	3.91	0	191.46	0	0	644	4
HAN	177.58433996255476	-38.73343166345771	224265.72	61783.81	0.363783985	1400.61	348.76	0.249	3.116883117	0.170263636	0.010113283	0.328523905	0.654531636	0.122247303	13.77515503	5.280745393	14.2644997	12.8079996	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2653.894911	0	0	0	0	0	0	0	0	0	0	0	0	0	523.9199354	0	0	2386.399612	0	0	0	0	0	20.52766413	218.412673	0	41757.61349	5566.079501	14221.17707	0	20.47	215.74	0	41637.08	5547.5	14362.88	20.47	2324.49	41495.46	14165.53	86.15	3420.36	0	271.21	0	2.44	90.51	0	55.47	0	3223.01	0	0	121.89	0	3298.47	245.79	0	0	220.19	2.44	55.47	41495.46	10942.52	30.26	18.03	86.15	0	1854.15	4.36	0	0	0	185.48	0	0	0	0	0	0	1186	12
hbMAK	176.32309960660862	-40.01543339925685	24632.44	5234.81	0.342866421	1605.95	415.76	0.259	3.128205128	0.387197436	0.006475221	0.69475029	0.688242487	0.146477748	21.18249966	5.440000066	13.9046001	12.3858995	248	0	0	0	0	0	429.2829	0	0	0	0	0	0	0	4751.4112	0	0	0	0	0	0	0	0	0	0	0	0	0	1042.421763	0	0	0	0	0	350.892875	0	0	0	0	15125.08417	2075.262747	0	0	0	0	0	0	0	97.44343264	10.63782745	5.620065832	2370.179769	904.1250074	1846.801298	0	100.04	10.67	43.4	2287.81	904.61	1888.19	100.04	195.19	2041.79	2449.44	289.42	148.17	0	10.67	0	321.23	209	0	0	0	547.55	0	0	39.81	0	108.36	0	0	0	6.81	78.94	0	1998.39	1740.02	0	21.1	209	0	188.38	0	0	5.61	0	10.67	37.79	161.87	0	80.42	0	0	879	12
hbMAN	176.5248157121851	-39.90707671467601	290576.83	35034.12	0.802176595	924.96	162.95	0.176	3.155172414	0.11682069	0.023727052	0.122761298	0.583369621	0.092156375	39.80546433	6.102185737	14.1358995	12.4177999	158	0	0	0	0	0	1053.9271	244.036825	0	0	0	0	0	0	7121.294363	0	0	0	0	0	0	0	0	0	0	0	0	0	4513.1618	0	1305.400563	5536.0844	0	0	0	0	0	0	0	4114.009781	30407.42732	0	0	0	0	0	7340.741325	50.13363146	121.6013113	11.07088135	160.665391	27329.12779	862.7497965	6498.769783	50.08	105.33	10.65	319.33	27161.93	785.11	6601.94	143.29	371.67	27455.61	2049.43	25.65	4927.99	50.08	10.65	0	106.39	24.59	48.69	0	0	413.44	48.69	0	259.22	0	4668.77	0	0	37.96	2.53	105.33	0	27136.28	1635.99	10.65	0	24.59	0	366.36	0	2.78	128.13	0	0	191.2	0	0	1.06	1.39	0	1239	10
hbMNR	176.7191003128941	-39.4403579727669	101377.25	21428.38	0.468002498	1063.01	143.4	0.135	3.225	0.1572975	0.023283233	0.141422045	0.611758875	0.24318064	29.51627879	5.702325501	14.3646002	13.6985998	79	0	0	0	0	0	0	0	0	0	0	0	0	0	501.391175	0	0	0	0	0	0	0	0	0	0	127.129125	0	0	128.2067875	0	0	0	0	0	0	0	0	0	0	3137.205444	0	0	28030.69972	1986.147306	0	0	7778.496834	0.472312862	0	6.371471008	14.04154839	12446.33509	2579.273999	6381.88264	0.46	0	6.29	13.96	12546.22	2393.4	6467.99	123.07	1877.04	12354.24	1157.02	205.94	5704.26	0.46	6.29	0	0	205.94	0.46	0	0	516.36	0.46	0	114.92	0	5589.34	27.76	0	123.07	90.44	0	0	12340.28	640.66	6.29	0	205.94	0	1758.84	0	0	9.19	0	0	4.77	0	0	0	0	0	932	10
hbPOR	176.5818442554459	-40.29686705523254	292996.31	70049.94	0.427510411	862.23	89.52	0.104	3.127659574	0.083659574	0.014976273	0.083045448	0.656240794	0.266796	19.60845626	5.686892193	14.1424999	13.4345999	20	0	0	0	0	0	0	324.5724188	0	0	0	206.5852813	0	0	0	0	0	37470.47577	0	0	0	0	0	0	0	0	0	0	3037.615044	0	98.23964375	0	0	0	0	0	0	0	0	63376.76674	0	0	0	0	0	0	4044.097081	23.22814989	44.6224005	147.0868531	22.31536582	58294.26822	5328.885867	6189.530739	23.17	39.44	150.61	22.28	58025.92	5399.33	6389.22	99.79	4416.23	57775.75	1569.15	246	5742.82	23.17	177.06	0	9.74	247.91	23.17	26.45	0	983.1	0	0	420.05	0	5322.77	0	0	60.35	28.5	9.74	26.45	57753.47	586.05	141.4	29.7	246	0	4383.51	1.91	2.31	0	0	9.21	22.28	0	0	0	0	23.17	1841	7
HER	176.86622349031933	-39.67221105590265	12768.47	964.09	1.337313652	608.46	32.63	0.054	4.5	0.057216667	0.0428176	0.021202733	0.5626145	-0.030775667	47.43636356	5.799999927	14.7018995	13.3718004	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1318.063981	0	0	0	0	0	0	0	386.3045938	0	0	0	0	0	0	0	0	0	6317.959463	59.43793521	0	0	17.00249068	785.5642511	0	102.0883466	68.74	0	0	16.98	781.1	0	97.31	0	0	798.08	0	0	97.31	68.74	0	0	0	0	68.74	0	0	0	66.64	0	7.05	0	90.26	0	0	0	0	0	0	781.1	0	0	0	0	0	0	0	0	2.44	0	0	14.54	0	0	0	0	2.1	1211	7
HKH	174.59711555977512	-36.365849303881326	1161.96	48.65	2.199234247	1400	1	0.001	3	0.0676	0.062154433	0.236207333	0.690913333	0.408726945	25.16666633	5.3499999	14.2566004	14.5969	98	0	0	604.3575521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	926.079	0	0	0	0	0	0	0	0	0	0	0	5.455548288	0	43.19268465	0	0	0	0	5.44	0	43.21	0	0	5.44	0	0	43.21	0	0	0	0	0	0	0	0	0	0	0	0	0	43.21	0	0	0	0	0	0	5.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3966	17
HOK	175.23607994892464	-40.60499871995346	130590.51	6076.91	2.083787441	978.51	81.65	0.083	2.909090909	-0.012545455	0.083368514	0.045239377	0.492413136	0.088566264	17.22499971	5.149999917	13.4141998	13.1152	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307.7749565	0	0	458.1796242	0	0	0	0	0	0	258.4561535	0	0	0	0	0	0	0	1784.597662	0	0	261.0011215	7471.916408	0	0	0	3974.096458	0	0	903.8399844	0	330.0028213	471.6559168	4093.234191	28.08737317	250.0874924	967.06	0	329.64	542.97	3931.68	34.73	270.87	0	40.01	4357.86	54.58	11.7	233.98	967.06	411.76	0	0	11.7	961.7	105.09	0	17.69	829.74	0	8.13	0	225.85	0	22.97	0	0	0	82.12	3814.89	36.89	329.64	0	11.7	0	17.04	0	0	18.39	0	0	524.58	0	4.26	0	1.1	131.96	1229	7
HOR	174.92617501517682	-41.079302623792444	21829.4	2806.44	0.736819923	1191	66.09	0.055	2.285714286	0.257885714	0.03478965	0.260948371	0.6154225	0.125746	17.4999996	5.6999999	13.4665003	13.0190001	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171.81955	0	0	0	0	0	0	0	0	0	0	162.5452877	0	0	0	0	0	0	0	0	0	0	4217.604562	149.6453898	0	0	0	0	0	0	0	0	0	5.549050143	1336.99604	649.7250138	814.1661544	0	0	0	5.59	1291.52	638.1	871.24	0	473.41	627.83	262.75	669.28	773.18	0	0	0	0	669.28	0	0	0	164.69	0	0	1.47	0	771.71	11.57	0	0	445.85	0	0	622.24	98.06	0	0	669.28	0	15.99	0	0	0	0	0	5.59	0	0	0	0	0	1405	7
hrMAN	175.8619133219419	-40.42268042622376	289212.06	41022.23	0.427957863	1785.08	556.64	0.312	3.309352518	0.283977698	0.019048327	0.350411213	0.563683259	0.15108	18.75594163	5.564927521	13.7302999	12.6658001	98	0	0	0	0	0	0	695.3581338	0	0	0	0	0	0	0	0	0	5116.111581	0	0	0	0	0	97.33059132	0	0	0	0	7139.367845	0	310.9867125	0	0	1616.356213	0	0	259.1043813	0	0	42147.0918	35889.03251	0	0	0	0	0	0	277.9733196	189.0191975	189.5257968	0	31922.3041	2421.766239	6021.642846	277.68	187.78	190.8	0	31600.53	2611.88	6153.45	251.73	1085.45	31482.47	6991.09	112.65	624.84	277.68	196.21	0	517.24	89.91	257.6	5.41	0	1212.64	256.7	0	72.34	0	552.5	13.49	0	63.95	169.72	172.97	5.41	31482.47	5464.66	7.83	14.81	82.17	0	892.92	7.74	1.58	0	0	182.97	0	313.79	11.15	30.48	8.93	0.9	328	11
hrMW	175.96172544363495	-40.35978895266641	790735.36	125844.49	0.426376104	1374	368.63	0.268	3.145714286	0.206914	0.016488736	0.223501619	0.615331106	-0.480310367	19.65267648	5.806978916	13.7395	12.5171003	103	0	0	0	0	0	161.2207125	709.7486375	0	0	0	122.3767688	0	0	12133.46203	0	0	27498.53499	0	0	0	0	0	0	0	0	0	0	8084.57695	0	4161.478488	0	0	0	5626.652719	0	448.948175	0	0	125248.8433	54952.98759	0	0	0	0	0	1021.920456	551.8368558	148.5730677	303.9691809	296.5838014	108418.8098	9441.610024	6683.110064	587.38	147.43	303.87	296.74	108082.95	9518.9	6907.32	188.37	1499.74	107807.39	11155.6	572.3	3729.94	587.38	303.87	0	671.93	572.3	558.66	0	0	7482.98	363.34	0	450.3	0	3279.64	0	0	40.94	291.66	135.75	0	107510.65	3136.44	53.12	11.68	572.3	0	1194.35	0	13.73	0	0	250.75	296.74	536.18	16.07	0	12.65	195.32	574	11
HRN	172.76755826389763	-42.87173773648419	123526.75	130711.13	0.099381462	1535.57	646.53	0.421	3.18115942	0.496576812	0.004360487	0.793298608	0.687657993	0.186064241	17.99002589	5.132283315	13.6719999	11.2988005	197	2022.536156	0	247.5712813	645.7433375	0	0	0	10797.11681	54626.38412	0	0	0	0	0	0	777.3034477	0	1853.194461	0	0	0	0	25802.58242	0	0	0	0	4934.176775	0	467.7218125	4653.287067	0	0	0	0	0	47001.37336	0	15805.58469	0	0	0	0	0	1466.703644	24414.61411	45.17693869	8549.8547	2304.404762	725.7408656	49877.46331	21676.74274	47531.74343	51.62	7895.56	2305.28	725.93	48737.94	23222.02	47772.93	7960.9	18225.4	6770.44	49371.17	42516.89	3346.77	51.62	2468.09	0	39414.02	16371.61	23.16	176.54	705.93	376.58	14.94	0	151.27	263.18	3195.5	0	13.73	771.27	1157.41	7035.41	162.81	6044.51	43654.89	1866.07	154.22	15214.8	0	15860.37	1156.81	37.08	0	0	439.21	725.93	4633.77	0	27038.91	28.46	8.22	1065	5
hrWG	175.06128957805748	-39.111637045386125	1508953.32	382862.91	0.395602793	1680.49	354.53	0.211	3.137452711	0.234774527	0.011452383	0.548116369	0.580402489	-0.472770909	15.46728032	5.458216359	13.9324999	12.9428997	100	0	0	0	0	0	29665.45773	0	0	0	2068.2599	0	0	0	0	0	0	0	27.1940375	0	33293.04789	1288.304388	117489.2344	0	13417.34281	2140.592088	2205.920531	0	11273.61103	13264.89241	0	0	0	0	0	0	1118.285	0	0	150738.4879	152661.9793	15376.13418	111357.4064	11702.97965	0	0	0	919.3268601	2780.064991	826.4785252	161.5066402	181377.9592	37571.71839	159225.8595	988.43	2753.31	825.54	345.47	176766.14	40006.39	161178.11	3142.23	28265.29	158383.2	135942.8	17220.43	37021.53	988.43	1899.48	0	8362.78	12685.09	831.86	1507.98	93.08	11100.03	655.42	0	1035.53	0	35986	374.85	434.04	482	1910.17	2589.06	1073.94	158037.73	123674.58	204.48	63.9	12622.17	0	24820	62.92	663.31	15.21	7.27	621.06	330.26	1075.11	55.64	4598.26	100.93	176.44	601	11
HT	175.78085658509693	-39.65688134269564	140594.94	27713.96	0.369363189	1037.5	11.15	0.011	3.264957265	0.147696581	0.016427895	0.312539357	0.581684034	-0.3942953	17.9088769	5.932637039	13.7545004	11.1168003	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3182.677313	0	0	0	3421.309775	0	0	0	0	0	5734.913469	0	0	0	0	0	0	0	0	971.7015	0	0	26162.51066	42859.31406	0	7736.516969	0	0	0	0	217.3397915	3.839109818	13.3500366	0	22385.13479	1219.205488	3875.094019	270.81	1.65	13.02	33.21	22287.61	1225.11	3882.59	9.34	941.99	15946.69	3699.97	5472.26	492.16	270.81	880.78	0	5178.87	267.43	270.24	901.87	0	317.23	163.91	0	138.71	27.61	353.45	19.47	34.11	7.69	28.62	1.65	867.76	15913.48	3382.74	13.02	0	267.43	0	859.79	0	0	0	0	0	33.21	0	0	5177.22	0.57	106.33	825	12
HTM	175.14363663572556	-41.079919410086944	34089.06	18928.46	0.191995427	2421.69	610.93	0.252	3.3	0.5515725	0.004711993	0.916024075	0.535894475	-0.266719312	18.63414594	5.855121947	13.1011	12.1162004	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1253.03804	0	0	0	0	461.9619201	0	0	0	0	731.8452817	0	0	0	0	0	25606.50926	828.1535935	0	0	0	0	0	0	9.605958342	27.22554261	0.531063694	0	1321.885169	2645.678782	14923.53218	12.72	27.08	0.52	0	1310.73	2635.49	14942.02	35.66	848.37	994.22	16100.72	316.51	619.84	12.72	0.52	0	516.95	41.3	3.78	0	0	1572.46	3.78	0	0	0	619.84	0	0	8.58	661.01	27.08	0	994.22	14313.6	0	0	41.3	0	187.36	0	0	0	0	0.52	0	214.66	0	275.21	8.94	0	1700	12
HUT	174.91836607792334	-41.198032499070045	572398.77	60421.52	1.285863876	1535.99	340.4	0.222	3.303571429	0.387488393	0.046132462	0.707643808	0.580676741	0.11837926	17.99776414	5.747988032	13.6334	13.1928997	19	0	0	0	0	0	0	480.3308379	0	0	0	0	0	0	0	0	0	0	101.0671653	0	0	572.3459644	0	3229.327769	0	0	0	0	864.6922201	0	0	0	0	739.6042317	0	0	12943.37216	0	0	69526.44414	2920.516338	0	0	0	0	0	0	3492.633955	185.894802	181.733595	5.992624199	7468.532595	12998.04891	36088.68601	3640.41	122.71	181.89	0	7284.16	12958.21	36234.42	496.55	3946.6	6397.05	37877.45	887.11	6994.74	3640.41	181.89	0	622.16	602.75	3419.18	0	0	8796.52	2528.66	0	17.42	0	6977.32	20.18	0	373.84	1953.36	122.71	0	6397.05	28865.84	36.34	0	602.75	0	1973.06	0	0	0	0	145.55	0	215.09	88.35	284.36	132.88	890.52	873	7
HW	174.74027679627832	-37.42462949199692	2107.77	932.61	0.170071334	1351.53	62.97	0.047	2.4	0.13068	0.01264208	0.2891232	0.5610686	-0.20346199	23.53749965	6.199999956	13.4649	14.5953999	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2412.004406	130.9546938	0	0	0	0	0	0	0	0	0.546142844	0	679.7440872	222.2581651	30.06311405	0	0	0.51	0	632.26	196.11	103.74	0	142.24	632.26	83.82	0	73.79	0	0.51	0	0	0	0	0	0	53.87	0	0	0	0	73.79	0	0	0	0.02	0	0	632.26	29.95	0.51	0	0	0	142.22	0	0	0	0	0	0	0	0	0	0	0	2408	20
